year,Temp
1935,8.765
1936,7.935
1937,8.4775
1938,9.7025
1939,10.0525
1940,9.5625
1941,8.99
1942,9.1525
1943,8.9625
1944,8.7075
1945,9.065
1946,9.03
1947,8.6825
1948,8.0875
1949,8.53
1950,8.25
1951,8.775
1952,8.4575
1953,8.255
1954,8.14
1955,8.595
1956,9.7275
1957,9.1025
1958,8.9725
1959,9.415
1960,8.805
1961,9.39
1962,8.87
1963,8.795
1964,8.725
1965,9.0325
1966,9.115
1967,8.7875
1968,8.7025
1969,8.36
1970,8.2675
1971,8.4825
1972,8.4775
1973,8.2025
1974,8.2675
1975,8.665
1976,9.5175
1977,8.665
1978,9.1975
1979,9.27
1980,9.0725
1981,9.925
1982,9.6325
1983,9.1975
1984,9.045
1985,9.7825
1986,9.6625
1987,9.3625
1988,9.7425
1989,9.4525
1990,10.2075
1991,10.065
1992,9.7875
1993,9.8625
1994,10.1175
1995,10.1425
1996,10.0925
1997,8.71
1998,9.055
1999,9.0025
2000,9.0775
2001,9.6
2002,9.595
2003,9.9275
2004,9.4575
2005,9.035
2006,8.39
2007,8.65
2008,9.2675
2009,8.7425
2010,8.64
2011,9.746666667
2012,9.6425
2013,10.745
2014,10.94
2015,10.5275
2016,10.205
2017,10.77666667
2018,10.735
2019,10.305